
2026/06/16 (18:39:53) | ===> btop++ v.1.3.2
2026/06/16 (18:39:53) | WARNING: Failed to join _runner thread on exit!

2026/06/16 (21:58:31) | ===> btop++ v.1.3.2
2026/06/16 (21:58:31) | WARNING: Failed to join _runner thread on exit!

2026/06/17 (10:02:19) | ===> btop++ v.1.3.2
2026/06/17 (10:02:19) | WARNING: Failed to join _runner thread on exit!

2026/06/17 (13:05:40) | ===> btop++ v.1.3.2
2026/06/17 (13:05:40) | WARNING: Failed to join _runner thread on exit!

2026/06/17 (14:17:42) | ===> btop++ v.1.3.2
2026/06/17 (14:17:42) | WARNING: Failed to join _runner thread on exit!
